RDKit Canonical Smiles,Molecule ChEMBL ID,Embeddings_tsne_x,Embeddings_tsne_y,Embeddings_Divergence_Pearson_Correlation,Embeddings_Divergence_Kendall_Correlation
COc1cc(OC)c2c(=O)cc(N3CCN(Cc4ccccc4[N+](=O)[O-])CC3)oc2c1,CHEMBL3765551,0.42491427,0.81191206,0.469224155609231,-0.057527656561497
CC(=O)CC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cc(O)cc(F)c2)C(=O)N2CCCC(N2)C(=O)O[C@H](/C(C)=C/C=C/C(=O)N2CCCCO2)C/C=C/C=C/[C@H](O)[C@H](C)[C@H]1O,CHEMBL3704747,0.7082428,0.12919813,0.826990590021364,0.417994466176892
CCN(CC)C(=O)c1ccc(-c2c3ccc(=[N+](C)C)cc-3sc3cc(N(C)C)ccc23)s1.F[P-](F)(F)(F)(F)F,CHEMBL493431,0.39683604,0.99570674,0.471071617711629,-0.186447657164091
CC[C@@H]1CN(C)[C@H]2Cc3c([nH]c4ccccc34)C(=O)C[C@H]1[C@@H]2C(=O)OC,CHEMBL4075029,0.6010879,0.21740812,0.807860683667422,0.3407619803253
CC[C@H]1CN(C)[C@H]2Cc3c(n(C(=O)c4cccc(C)c4)c4ccccc34)C(=O)C[C@H]1[C@@H]2C(=O)OC,CHEMBL4094301,0.6014196,0.23727624,0.707629640742779,0.215889403883719
C/C=C/C(=O)O[C@H]1C[C@H]2[C@H](C(=O)OC)[C@H](Cc3c1[nH]c1ccccc31)N(C)C[C@@H]2CC,CHEMBL4062990,0.5980953,0.19125393,0.865700088923383,0.376129236362541
COC(=O)c1ccc(CN2CCN(c3cc(=O)c4c(OC)cc(OC)cc4o3)CC2)cc1,CHEMBL3764960,0.46009988,0.802292,0.181092410879911,-0.091378383942874
CC[C@@H]1CN(C)[C@H]2Cc3c([nH]c4ccccc34)/C(=N/NC(N)=O)C[C@H]1[C@@H]2C(=O)OC,CHEMBL4098041,0.57536733,0.21895528,0.793786970166463,0.336222437593841
C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21,CHEMBL1229211,0.55977166,0.5796116,0.561669710025154,0.04169951641818
COc1cc(/C=C/C(=O)c2ccc3ccccc3c2)cc(I)c1OC,CHEMBL3926291,0.07778478,0.30263615,0.660686967586295,0.215804036376601
