RDKit Canonical Smiles,Molecule ChEMBL ID,Fingerprints_tsne_x,Fingerprints_ tsne_y,Daylight_tsne_x,Daylight_tsne_y,Molecular_Descriptors_tsne_x,Molecular_Descriptors_tsne_y,Fingerprints_Divergence_Pearson_Correlation,Fingerprints_Divergence_Kendall_Correlation,Daylight_Divergence_Pearson_Correlation,Daylight_Divergence_Kendall_Correlation,Molecular_Descriptors_Divergence_Pearson_Correlation,Molecular_Descriptors_Divergence_Kendall_Correlation,Molecular weight,aLogP,cx_most_apka,cx_most_bpka,Lipinski RO5 violations,Follows Lipinski’s RO5,QED_weighed,Bioactivity (P-glycoprotein 1)
COc1cccc(CCc2ccccc2OCCCCN2CCc3cc(OC)c(OC)cc3C2)c1,CHEMBL485727,0.3551714,0.70800805,0.27520964,0.9188764,0.71589845,0.30365515,0.60432467952154,-0.068675648667514,0.645136393332308,0.13516187185835,0.332698059393477,0.138194929170077,475.63,5.71,,8.14,1,True,0.31,1
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cnc4ccccc4n3)cc1)CC2,CHEMBL258882,0.47970232,0.7912998,0.34971213,0.93047076,0.7660025,0.4535758,0.518414386835649,0.059440893044557,0.535721530116751,0.072627662085277,0.588775332056157,0.217365759595057,468.56,4.5,,8.36,0,True,0.43,1
COC(=O)c1ccccc1-c1c2ccc(=N)cc-2oc2cc(N)ccc12,CHEMBL347534,0.22040817,0.62502724,0.5988422,0.84666574,0.742805,0.76483345,0.062777730342599,-0.158236206870578,0.376781065929191,-0.094903559825047,0.466243230987207,0.19063066501288,344.37,4.05,,7.7,0,True,0.33,1
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc4ccccc4cn3)cc1)CC2,CHEMBL259690,0.48112917,0.78140956,0.34849313,0.93435246,0.76978844,0.44683465,0.514835661652531,0.062413690939495,0.628379320370425,0.083705351538373,0.595428931307583,0.211756612215588,467.57,5.11,,8.36,1,True,0.41,1
COc1cccc(CCc2ccccc2OCc2ccc(OC)c(OC)c2)c1,CHEMBL272836,0.323965,0.6822089,0.28220853,0.87528414,0.73810697,0.36502355,0.48202478129117,-0.140218641250584,0.566683063087831,0.13139565830902,0.354552064790578,0.206745037385946,378.47,5.08,,,1,True,0.52,1
COc1cccc(CCc2ccccc2OCCCN2CCc3cc(OC)c(OC)cc3C2)c1,CHEMBL486337,0.3546099,0.71109295,0.2741672,0.91931826,0.7249026,0.30129033,0.614028483553232,-0.068334178639041,0.65027807651183,0.136346973721873,0.329233797603849,0.153601253395869,461.6,5.32,,8.21,1,True,0.36,1
COc1cccc(CCc2ccccc2OCc2cccc(OC)c2OC)c1,CHEMBL258610,0.32556385,0.67972577,0.28226155,0.87526435,0.73697466,0.36588562,0.445134692662963,-0.145611859053224,0.518875496495816,0.12428002550982,0.315891306851682,0.199820226073245,378.47,5.08,,,1,True,0.52,1
COc1cccc(CCc2ccccc2NCc2cccc(OC)c2OC)c1,CHEMBL272423,0.31628352,0.6717633,0.4259353,0.9646549,0.7368914,0.36242762,0.367419292193116,-0.15266221081757,0.667197476175765,0.064090911373463,0.30821641588952,0.195853147801285,377.48,5.11,,3.64,1,True,0.56,1
Cc1ccccc1N1CCN(CC(O)COc2ccc(C(=O)c3ccccc3)cc2)CC1,CHEMBL2059232,0.44283476,0.47897336,0.17278102,0.85541326,0.7414243,0.2125648,0.309927222624762,0.13477018564922,0.329871269703014,0.11639106352849,0.405740954894315,0.12941211917304,430.55,3.79,,6.78,0,True,0.55,1
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,CHEMBL631,0.39573565,0.46487838,0.23183969,0.8392884,0.7776521,0.3170504,-0.069715456722369,-0.186136316844013,0.411259406646229,0.112599741888831,0.420437264669542,0.205218465493951,341.45,3.24,,9.63,0,True,0.49,1
